地域,得票,率
横浜市港北区,8968,4.73
横浜市西区,2403,4.50
川崎市中原区,7552,5.35
横浜市神奈川区,4850,3.96
横浜市中区,2688,3.90
川崎市高津区,4955,4.18
横浜市青葉区,6536,3.98
川崎市多摩区,4518,3.94
川崎市宮前区,4442,3.74
川崎市幸区,3610,4.11
横浜市都筑区,4333,3.87
横浜市戸塚区,4419,3.08
横浜市鶴見区,4692,3.36
川崎市麻生区,3374,3.52
横浜市保土ケ谷区,3207,3.17
鎌倉市,3405,3.69
藤沢市,6436,3.60
逗子市,1142,3.00
横浜市南区,2560,2.77
横須賀市,2813,1.67
